student_id,akt_kode,fortolket_res,termin,belastning
8773,28855,bestået,F20,5
8773,22208,bestået,E19,5
8773,27322,bestået,F20,10
8773,27510,bestået,F20,5
8773,27405,bestået,E19,10
8773,2411,bestået,E19,5
8773,28480,bestået,E19,10
8773,28850,bestået,F20,5
8772,27430,bestået,E19,5
8772,27220,bestået,F20,5
8772,27322,bestået,F20,10
8772,27230,bestået,E19,5
8772,27405,bestået,E19,10
8772,28480,bestået,E19,10
8772,S27-15-1,bestået,F20,15
8771,27430,bestået,E19,5
8771,27102,bestået,F20,5
8771,27220,bestået,F20,5
8771,23258,bestået,F20,5
8771,27322,bestået,F20,10
8771,27230,bestået,E19,5
8771,27405,bestået,E19,10
8771,2411,bestået,F20,5
8771,28480,bestået,E19,10
8771,28480,forsøg,E19,10
8770,27430,ikke bestået,E19,5
8770,28855,bestået,F20,5
8770,27460,bestået,E19,5
8770,27322,bestået,F20,10
8770,2411,bestået,F20,5
8770,28480,bestået,E19,10
8770,2443,bestået,F20,5
8770,27423,ikke bestået,E19,5
8770,27455,ikke bestået,F20,5
8769,27430,bestået,E19,5
8769,23532,bestået,F20,5
8769,27220,bestået,F20,5
8769,27322,bestået,F20,10
8769,27419,bestået,F20,5
8769,27405,bestået,E19,10
8769,28480,bestået,E19,10
8768,27430,bestået,E19,5
8768,S23-05-1,bestået,F20,5
8768,27322,bestået,F20,10
8768,27230,bestået,E19,5
8768,27641,bestået,E19,5
8768,27250,bestået,E19,5
8768,2411,bestået,F20,5
8768,23662,bestået,E19,5
8766,27430,bestået,E19,5
8766,27641,bestået,E19,5
8766,34430,bestået,F20,5
8766,2411,bestået,E19,5
8766,23206,bestået,F20,5
8766,10337,bestået,E18,5
8766,23205,bestået,E19,5
8766,S27-05-1,bestået,F20,5
8763,27102,bestået,F20,5
8763,23532,bestået,F19,5
8763,27220,bestået,F19,5
8763,23258,bestået,F19,5
8763,22110,bestået,E19,10
8763,27405,bestået,E19,10
8763,27324,bestået,F19,5
8762,22236,bestået,F20,5
8762,27102,bestået,F20,5
8762,23258,bestået,F20,5
8762,27322,bestået,F20,10
8762,24102,bestået,F18,5
8761,26610,bestået,F19,5
8761,42433,bestået,F20,10
8761,23732,bestået,E19,5
8761,23258,bestået,F19,5
8761,27322,ikke bestået,F19,10
8761,27322,forsøg,F20,10
8761,28345,bestået,F20,5
8761,42430,bestået,E19,5
8761,28480,bestået,E19,10
8761,2443,bestået,F20,5
8761,28850,bestået,F20,5
8761,23205,bestået,E19,5
8757,25315,bestået,E19,5
8757,27430,bestået,E19,5
8757,27303,bestået,E19,5
8757,27322,bestået,F20,10
8757,27230,bestået,E19,5
8757,27419,bestået,F20,5
8757,22117,bestået,F20,5
8757,22117,forsøg,F20,5
8756,28855,bestået,F20,5
8756,27220,bestået,F20,5
8756,27322,bestået,F20,10
8756,27230,bestået,E19,5
8756,27641,bestået,E19,5
8756,27419,bestået,F20,5
8756,27405,bestået,E19,10
8756,28480,bestået,E19,10
8755,27430,bestået,E19,5
8755,23281,bestået,E19,5
8755,27102,bestået,F20,5
8755,27220,bestået,F20,5
8755,27322,forsøg,F20,10
8755,27322,bestået,F20,10
8755,27641,bestået,E19,5
8755,28480,bestået,E19,10
8755,23205,bestået,E19,5
8753,27322,bestået,F20,10
8753,27422,bestået,F20,5
8753,22125,bestået,F20,5
8753,22281,bestået,F20,5
8753,27250,bestået,E19,5
8753,28480,bestået,E19,10
8753,26422,bestået,E19,5
8753,22117,bestået,F20,5
8753,22475,bestået,E19,10
8752,27430,bestået,E19,5
8752,28855,bestået,F20,5
8752,27460,bestået,E19,5
8752,27322,bestået,F20,10
8752,27230,bestået,E19,5
8752,27419,bestået,F20,5
8752,28233,bestået,E19,5
8752,27255,bestået,F20,5
8752,28480,bestået,E19,10
8752,27455,bestået,F20,5
8751,27430,bestået,E19,5
8751,28855,bestået,F20,5
8751,27102,bestået,F20,5
8751,27220,bestået,F20,5
8751,27460,bestået,E19,5
8751,27322,bestået,F20,10
8751,27510,bestået,F20,5
8751,28233,bestået,E19,5
8751,28480,bestået,E19,10
8751,23205,bestået,F20,5
8751,23205,forsøg,E19,5
8748,22230,bestået,F20,5
8748,27322,bestået,F20,10
8748,27419,bestået,F20,5
8748,22179,ikke bestået,F20,5
8747,27430,bestået,E19,5
8747,27303,bestået,E19,5
8747,23258,bestået,F20,5
8747,27230,bestået,E19,5
8747,27405,bestået,E19,10
8747,42429,bestået,F20,5
8747,27455,bestået,F20,5
8745,27322,bestået,F20,10
8745,2411,bestået,F20,5
8741,27430,ikke bestået,E19,5
8741,22111,forsøg,F20,5
8741,22111,ikke bestået,F20,5
8741,27051,ikke bestået,F20,5
8741,27102,bestået,F20,5
8741,27230,ikke bestået,E19,5
8741,42634,bestået,F20,10
8741,28480,bestået,E19,10
8741,27423,bestået,E19,5
8741,26325,forsøg,F20,5
8741,26325,ikke bestået,F20,5
8740,22230,bestået,F20,5
8740,22236,bestået,F20,5
8740,27102,bestået,F20,5
8740,27322,bestået,F20,10
8740,27510,bestået,F20,5
8738,47305,bestået,F20,5
8738,S27-10-1,bestået,F20,10
8738,27510,ikke bestået,F20,5
8735,28855,bestået,F20,5
8735,28345,bestået,F20,5
8735,27230,bestået,E19,5
8735,28233,forsøg,E19,5
8735,28233,bestået,E19,5
8735,2411,bestået,F20,5
8735,28480,bestået,E19,10
8735,S27-05-1,bestået,F20,5
8734,27430,bestået,E18,5
