student_id;course
8795;22207-1
8795;27455
8794;28855
8794;28345
8794;2411
8794;27455
8791;28855
8791;28855
8791;27303
8791;27460
8791;27322
8791;28345
8791;27419
8791;27419
8791;27405
8791;26125
8791;23206
8791;28480
8791;27324
8791;27455
8790;22230
8790;28855
8790;27102
8790;27460
8790;27322
8790;27641
8790;2411
8790;28480
8790;23205
8790;22235
8786;27430
8786;28855
8786;S27-05-2
8786;27230
8786;2411
8786;S27-05-1
8786;27455
8785;27405
8785;28480
8784;28855
8784;27255
8784;12136
8784;27455
8782;88383
8782;10603
8782;23255
8781;27430
8781;27220
8781;27432
8781;27422
8781;S27-10-1
8781;27230
8781;27230
8781;27405
8781;27405
8781;27423
8781;28871
8780;S42-05-1
8780;28855
8780;23532
8780;28345
8780;28233
8780;28480
8780;27423
8780;S27-05-1
8780;27455
8778;27430
8778;28855
8778;27460
8778;27322
8778;28345
8778;27419
8778;28480
8778;23205
8778;27423
8778;27455
8777;27430
8777;23532
8777;27322
8777;27230
8777;2411
8777;2411
8777;27455
8776;33442
8776;S22-10-1
8776;27220
8776;26438
8776;27432
8776;33902
8776;23258
8776;23258
8776;27322
8776;27422
8776;24102
8776;27405
8776;S22-05-1
8776;26290
8776;26261
8775;27430
8775;27460
8775;27322
8775;S27-05-2
8775;S27-05-3
8775;27250
8775;27250
8775;28480
8774;27430
8774;23258
8774;27322
8774;S27-05-2
8774;27230
8774;2411
8774;28480
8774;S27-05-1
8773;22230
8773;28855
8773;22208
8773;27322
8773;27510
8773;27405
8773;2411
8773;28480
8773;28850
8772;27430
8772;27220
8772;27322
8772;27230
8772;27405
8772;28480
8772;S27-15-1
8771;27430
8771;27102
8771;27220
8771;23258
8771;27322
8771;27230
8771;27405
8771;2411
8771;28480
8771;28480
8770;27430
8770;28855
8770;27460
8770;27322
8770;2411
8770;28480
8770;2443
8770;27423
8770;27455
8769;27430
8769;23532
8769;27220
8769;27322
8769;27419
8769;27405
8769;28480
8768;27430
8768;S23-05-1
8768;27322
8768;27230
8768;27641
8768;27250
8768;2411
8768;23662
8766;27430
8766;27641
8766;34430
8766;2411
8766;23206
8766;10337
8766;23205
8766;S27-05-1
8763;27102
8763;23532
8763;27220
8763;23258
8763;22110
8763;27405
8763;27324
8762;22236
8762;27102
8762;23258
8762;27322
8762;24102
8761;26610
8761;42433
8761;23732
8761;23258
8761;27322
8761;27322
8761;28345
8761;42430
8761;28480
8761;2443
8761;28850
8761;23205
8757;25315
8757;27430
8757;27303
8757;27322
8757;27230
8757;27419
8757;22117
8757;22117
8756;28855
8756;27220
8756;27322
8756;27230
8756;27641
8756;27419
8756;27405
8756;28480
8755;27430
8755;23281
8755;27102
8755;27220
8755;27322
8755;27322
8755;27641
8755;28480
8755;23205
8753;27322
8753;27422
8753;22125
8753;22281
8753;27250
8753;28480
8753;26422
8753;22117
8753;22475
8752;27430
8752;28855
8752;27460
8752;27322
8752;27230
8752;27419
8752;28233
8752;27255
8752;28480
8752;27455
8751;27430
8751;28855
8751;27102
8751;27220
8751;27460
8751;27322
8751;27510
8751;28233
8751;28480
8751;23205
8751;23205
8748;22230
8748;27322
8748;27419
8748;22179
8747;27430
8747;27303
8747;23258
8747;27230
8747;27405
8747;42429
8747;27455
8745;27322
8745;2411
8741;27430
8741;22111
8741;22111
8741;27051
8741;27102
8741;27230
8741;42634
8741;28480
8741;27423
8741;26325
8741;26325
8740;22230
8740;22236
8740;27102
8740;27322
8740;27510
8738;47305
8738;S27-10-1
8738;27510
8735;28855
8735;28345
8735;27230
8735;28233
8735;28233
8735;2411
8735;28480
8735;S27-05-1
8734;27430
8734;27220
8734;E27-30
8734;27432
8734;27246
8734;27246
8734;27246
8734;27460
8734;42490
8734;27322
8734;27322
8734;27247
8734;S27-10-1
8734;27230
8734;27230
8734;22110
8734;22110
8734;27405
8733;22230
8733;28855
8733;27460
8733;27230
8733;27419
8733;28480
8733;27423
8733;S27-05-1
8733;27455
8732;27430
8732;28345
8732;28480
8732;2443
8732;27455
8731;27430
8731;2450
8731;28855
8731;27303
8731;27460
8731;S27-05-2
8731;27419
8731;28480
8731;22117
8731;27423
8731;S27-05-1
8731;27455
8730;27430
8730;2450
8730;2450
8730;27422
8730;27230
8730;2633
8730;27405
8730;2411
8730;2411
8730;2411
